year,course,number,hsc_mean,hsc_sd,hsc_max,hsc_p99,hsc_p90,hsc_p75,hsc_p50,hsc_p25,scaled_mean,scaled_sd,scaled_max,scaled_p99,scaled_p90,scaled_p75,scaled_p50,scaled_p25
2021,Studies of Religion I,8389,37.8,5.7,50.0,48.0,45.0,42.0,38.0,33.0,27.6,9.1,48.8,45.0,39.5,34.6,27.8,20.8
2021,Studies of Religion II,6132,38.2,5.9,49.5,47.5,45.0,43.0,39.0,34.0,27.5,10.0,50.0,45.7,40.2,35.3,28.3,20.4
2021,Textiles & Design,1189,39.5,5.9,49.0,48.0,46.0,44.0,40.5,36.5,23.1,11.6,49.0,47.0,39.3,32.2,22.5,13.8
2021,Visual Arts,8417,40.7,4.3,50.0,48.0,45.5,44.0,41.5,38.0,22.1,11.1,48.8,45.1,37.8,30.5,21.5,13.2
2021,Arabic Continuers,275,41.0,4.5,49.0,48.0,46.0,44.0,41.5,39.0,19.2,11.4,46.8,44.7,36.8,27.6,16.7,10.1
2021,Arabic Extension,68,43.7,3.8,50.0,50.0,48.0,46.0,44.0,42.0,27.8,6.6,43.6,43.6,37.2,31.8,26.9,23.4
2021,Chinese Beginners,67,40.0,7.0,49.5,49.5,48.0,46.0,42.0,34.5,26.3,10.6,47.6,47.6,40.4,34.1,27.7,18.0
2021,Chinese Continuers,209,42.3,5.3,49.5,49.0,48.0,46.5,43.0,39.0,31.3,10.1,50.0,47.3,44.5,38.5,31.4,24.7
2021,Chinese Extension,49,44.2,4.4,49.0,49.0,48.0,47.0,46.0,42.0,37.7,8.1,50.0,50.0,47.2,43.1,40.1,31.8
2021,Chinese & Literature,373,41.3,4.3,48.0,47.5,46.0,44.5,42.0,39.0,24.8,10.4,49.7,47.6,38.8,32.3,25.0,17.1
2021,Chinese in Context,130,44.5,4.1,49.5,49.0,48.5,47.5,46.0,43.0,30.7,10.3,50.0,48.4,43.5,38.3,31.9,24.0
2021,French Beginners,380,38.9,7.5,50.0,49.5,47.0,44.5,40.0,35.0,24.2,11.4,50.0,48.0,39.0,32.5,24.3,16.1
2021,French Continuers,598,41.2,5.4,49.5,49.0,47.5,46.0,41.5,37.5,34.0,9.0,50.0,49.1,45.0,41.6,34.5,27.7
2021,French Extension,132,39.2,6.1,49.0,49.0,46.0,44.0,40.0,35.0,39.7,6.2,50.0,49.9,46.8,44.3,40.1,36.0
2021,German Beginners,104,40.1,6.6,49.0,49.0,47.5,46.5,42.0,35.5,28.0,11.3,50.0,49.2,42.0,39.3,28.1,20.1
2021,German Continuers,152,41.3,5.6,49.5,49.5,47.0,46.0,42.0,37.5,33.3,10.3,50.0,49.6,44.3,41.3,35.1,25.9
2021,German Extension,45,45.6,3.3,49.0,49.0,49.0,48.0,46.0,44.0,39.5,6.0,50.0,50.0,46.7,44.4,40.0,35.7
2021,Indonesian Continuers,62,39.2,6.8,49.0,49.0,47.5,45.5,39.5,33.0,31.0,10.3,50.0,50.0,45.2,39.5,31.3,21.7
2021,Italian Beginners,321,38.9,6.3,49.5,49.0,46.5,44.5,39.5,34.5,25.3,10.9,50.0,47.2,40.3,34.0,25.0,17.3
2021,Italian Continuers,198,42.2,4.9,50.0,49.5,47.0,46.0,43.5,39.0,31.5,9.2,50.0,48.4,41.4,38.3,33.1,25.1
2021,Japanese Beginners,545,35.3,9.0,50.0,49.0,46.0,42.0,36.5,30.5,23.0,11.4,47.4,44.3,38.3,32.2,23.9,14.5
2021,Japanese Continuers,632,39.9,6.4,50.0,49.0,47.5,45.0,41.0,35.5,30.8,9.4,50.0,47.5,42.8,38.3,31.8,24.6
